,faila_nosaukums,VISS_KERMENIS,KERMENA_DALAS,GALVA_UN_DALAS,CITI_VARDI,TOTAL,tokens_count,kv_procentos
223,1980EzeraReginaDubultnieceStasts,0.0279,0.3903,0.4182,0.0,30,3587,0.84
196,1969GubinaIndraTadsSavadsEzersTelojums,0.0,0.4872,0.3543,0.0,19,2258,0.84
89,1927GailiteAngelikaCorArdensStasts,0.1227,0.4173,0.27,0.0245,102,12220,0.83
81,1925ZamaicaLucijaZieduLastsStasts,0.0151,0.2716,0.4527,0.0905,55,6627,0.83
234,1985EzeraReginaPieKlusiemUdeniemZitaStasts,0.0457,0.3288,0.3471,0.0913,89,10948,0.81
200,1970DinereCecilijaPirmaLomaStasts,0.0,0.1568,0.56,0.0896,36,4464,0.81
225,1981SokolovaIngridaDiviBriviCilvekiStasts,0.0223,0.3477,0.3744,0.0535,179,22433,0.8
120,1930BaumaneAlijaNoplesamsNamsStasts,0.0322,0.193,0.5468,0.0322,25,3109,0.8
75,1925ZamaicaLucijaCiemaPieTautiesiemStasts,0.0605,0.3284,0.3803,0.0346,93,11571,0.8
4,1896ZaliteHermineMūsuCeliSkirasStasts,0.0197,0.2365,0.5125,0.0197,40,5073,0.79
65,1924BaumaneAlijaAulojosaPilsetaStasts,0.0427,0.3418,0.3162,0.0513,88,11703,0.75
50,1913GailiteAngelikaDraudzibaTelojums,0.09,0.1351,0.4953,0.0,16,2221,0.72
90,1927GailiteAngelikaGreciniecesStasts,0.1022,0.2045,0.409,0.0,14,1956,0.72
66,1924BaumaneAlijaBrauciensStasts,0.0296,0.2566,0.3553,0.0494,70,10131,0.69
2,1895ZaliteHermineEjUnIzglitojiesStasts,0.0421,0.2949,0.337,0.0,16,2374,0.67
230,1984KalpinaRuditeMonikaNoDevitasKlasesStasts,0.0,0.3787,0.2524,0.0316,21,3169,0.66
10,1900BirzniekuLatinaKasTuvakuSkice,0.0408,0.0815,0.4892,0.0408,16,2453,0.65
187,1964ZeberinaDzidraKalabSkice,0.0811,0.1622,0.4055,0.0,8,1233,0.65
227,1983RubeneEvaTrisDienasBrivibaStasts,0.0272,0.2996,0.2042,0.0817,45,7344,0.61
92,1927GailiteAngelikaMateTelojums,0.0,0.2448,0.3672,0.0,10,1634,0.61
5,1896ZaliteHermineNoTumsībasPieGaismasStasts,0.0419,0.1886,0.3354,0.021,28,4771,0.59
20,1902RumaneTuJaunibaSkice,0.0,0.1449,0.2899,0.1449,4,690,0.58
132,1935MezsetaZelmaPārslaStasts,0.0,0.2634,0.2634,0.0376,15,2658,0.56
134,1936TalritaRatinstumejameitaStasts,0.0,0.1867,0.3548,0.0187,30,5355,0.56
184,1964NeboisaAinaEtideSkice,0.0,0.1248,0.4367,0.0,9,1603,0.56
99,1927PrusaEmilijaRasaStasts,0.0149,0.1934,0.3125,0.0149,36,6721,0.54
238,1987MelgalveValdaOtrāBalssStasts,0.0479,0.0958,0.3833,0.0,11,2087,0.53
0,1893MedinskaMarijaSērdienīteStasts,0.0979,0.2098,0.1819,0.042,38,7148,0.53
91,1927GailiteAngelikaKazuCelojumsStasts,0.0266,0.2658,0.1595,0.0532,19,3762,0.51
87,1927DaugavieteAnnaRitaStasts,0.0366,0.1829,0.2926,0.0,14,2734,0.51
237,1987EzeraReginaPieKlusiemUdeniemDacesStasts,0.0169,0.1603,0.2616,0.0759,61,11851,0.51
93,1927GailiteAngelikaSapnotajasStasts,0.0,0.1302,0.3472,0.0,11,2304,0.48
27,1904TirzmalieteCikVajagPrieksCilvekaLaimesStasts,0.0,0.2586,0.2011,0.0,16,3480,0.46
153,1938MezsetaZelmaPirmāAlgaStasts,0.0817,0.1634,0.1634,0.0,15,3673,0.41
52,1913GailiteAngelikaMelanholijaTelojums,0.0,0.0,0.3992,0.0,2,501,0.4
72,1925KlotoAmandaLapasNoKādasDienasgrāmatas,0.0,0.1396,0.0698,0.0,3,1433,0.21
26,1904RumanePavasaraIlgasSkice,0.0,0.2079,0.0,0.0,1,481,0.21
